title, type, year, month, thumbnail, fOrder, jhOrder
'Peasant Woman, Seated with White Cap I', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0144a.jpg', '144a', '704'
'Water Mill at Gennep I', 'oil on canvas', 1884, 10, 'http://www.vggallery.com/painting/f_0046.jpg', '46', '524'
'Backyards of Old Houses in Antwerp in the Snow', 'oil on canvas', 1885, 11, 'http://www.vggallery.com/painting/f_0260.jpg', '260', '970'
'Head of a Woman with her Hair Loose', 'oil on canvas', 1885, 11, 'http://www.vggallery.com/painting/f_0206.jpg', '206', '972'
'Head of an Old Woman with White Cap (The Midwife)', 'oil on canvas', 1885, 11, 'http://www.vggallery.com/painting/f_0174.jpg', '174', '978'
'Portrait of an Old Man with Beard', 'oil on canvas', 1885, 11, 'http://www.vggallery.com/painting/f_0205.jpg', '205', '971'
'Portrait of Woman in Blue', 'oil on canvas', 1885, 11, 'http://www.vggallery.com/painting/f_0207a.jpg', '207a', '1204'
'Skull with Burning Cigarette', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0212.jpg', '212', '999'
'Wheat Field', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0564.jpg', '564', '1475'
'La Berceuse (Augustine Roulin) I', 'oil on canvas', 1889, 2, 'http://www.vggallery.com/painting/f_0507.jpg', '507', '1672'
'Peach Tree in Blossom', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0404.jpg', '404', '1391'
'Almond Tree in Blossom', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0557.jpg', '557', '1397'
'Blossoming Pear Tree', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0405.jpg', '405', '1394'
'Orchard in Blossom I', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0511.jpg', '511', '1386'
'The White Orchard', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0403.jpg', '403', '1378'
'View of Arles with Trees in Blossom', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0515.jpg', '515', '1683'
'Self-Portrait with Pipe and Straw Hat', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0524.jpg', '524', '1565'
'Paul Gauguin (Man in a Red Beret)', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0546.jpg', '546', ''
'The Baby Marcelle Roulin I', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0441.jpg', '441', '1641'
'Paul Gauguin\'s Armchair', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0499.jpg', '499', '1636'
'Portrait of a One-Eyed Man', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0532.jpg', '532', '1650'
'Seascape at Saintes-Maries I', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0415.jpg', '415', '1452'
'Blossoming Almond Branch in a Glass', 'oil on canvas', 1888, 2, 'http://www.vggallery.com/painting/f_0392.jpg', '392', '1361'
'Old Woman of Arles, An', 'oil on canvas', 1888, 1, 'http://www.vggallery.com/painting/f_0390.jpg', '390', '1357'
'Pork-Butcher\'s Shop Seen from a Window, A', 'oil on canvas', 1888, 1, 'http://www.vggallery.com/painting/f_0389.jpg', '389', '1359'
'Crab on Its Back', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0605.jpg', '605', '1663'
'Still Life: Vase with Fifteen Sunflowers I', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0458.jpg', '458', '1667'
'Harvest at La Crau, with Montmajour in the Background', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0412.jpg', '412', '1440'
'Wheat Field with the Alpilles Foothills in the Background', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0411.jpg', '411', '1476'
'The Zouave (Half Length)', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0423.jpg', '423', '1486'
'Fishing Boats on the Beach at Saintes-Maries', 'oil on canvas', 1888, 6, 'http://www.vggallery.com/painting/f_0413.jpg', '413', '1460'
'The Langlois Bridge at Arles with Road Alongside the Canal', 'oil on canvas', 1888, 2, 'http://www.vggallery.com/painting/f_0400.jpg', '400', '1371'
